DATE,Order_id,NEWVERTICAL_Merchant,MerchantID,User_id,GMV,Service Group
2021-01-09,8860211727,Airtime,30,45967890,28000,data
2021-01-09,8860914167,Cashin Bank,30,45967890,28000,data
2021-01-09,8859741288,Airtime,41,50002222,15000,data
2021-01-09,8866930185,Airtime,41,56877736,90000,data
2021-01-09,8865799079,Airtime,30,53795494,20000,data
2021-01-09,8860760649,Airtime,30,46345943,14000,data
2021-01-10,8879115588,supermarket,9,46022523,30500,supermarket
2021-01-10,8879244353,CVS,8,58442688,55000,cvs
2021-01-10,8871731658,Coffee chains and Milk tea,10,33571564,104000,Coffee chains and Milk tea
2021-01-10,8869954170,Airtime,41,22380371,10000,data
2021-01-10,8880824199,Airtime,41,52685103,10000,data
2021-01-11,8893724318,Marketplace,37,58990524,100000,marketplace
2021-01-11,8893724069,Marketplace,37,58990524,100000,marketplace
2021-01-11,8888851612,CVS,28,541332,61000,cvs
2021-01-11,8890397873,Marketplace,24,34033354,73700,marketplace
2021-01-11,8889007362,Marketplace,24,46345943,144900,marketplace
2021-01-11,8884370050,Marketplace,24,789774,9740,marketplace
2021-01-11,8884867276,Marketplace,24,46345943,33000,marketplace
2021-01-11,8892602845,Cashin Bank,30,36040051,10000,data
2021-01-11,8884046144,Cashin Bank,30,58617969,84000,data
2021-01-11,8882746609,Airtime,30,58617969,84000,data
2021-01-11,8891740728,Airtime,30,36040051,10000,data
2021-01-11,8898611761,Airtime,43,43694425,20000,data
2021-01-11,8899507305,Cashin Bank,43,43694425,20000,data
2021-01-11,8896080293,Airtime,41,55624234,10000,data
2021-01-11,8882986343,Airtime,41,45713510,30000,data
2021-01-11,8885295918,Airtime,30,60500957,10000,data
2021-01-11,8897655245,Airtime,41,53795494,10000,data
2021-01-12,8912256572,Marketplace,37,7367023,286000,marketplace
2021-01-12,8910774402,Marketplace,24,46442038,99440,marketplace
2021-01-12,8907932795,Airtime,30,38752870,84000,data
2021-01-12,8916018318,Airtime,41,60197302,15000,data
2021-01-12,8910798058,Airtime,41,45801926,40000,data
2021-01-12,8912769362,Airtime,41,61270656,10000,data
2021-01-12,8899890400,Airtime,30,54573185,28000,data
2021-01-12,8914390796,Airtime,30,51949036,10000,data
2021-01-13,8924643171,Marketplace,37,61441598,90000,marketplace
2021-01-13,8933434825,Marketplace,37,46291662,321778,marketplace
2021-01-13,8924487496,Marketplace,37,61441598,30000,marketplace
2021-01-13,8924640029,Supermarket,9,61441598,100000,supermarket
2021-01-13,8924619375,Supermarket,9,61441598,100000,supermarket
2021-01-13,8927995680,CVS,28,49273497,6000,cvs
2021-01-13,8923008741,CVS,28,55516344,11000,cvs
2021-01-13,8923867463,Marketplace,24,48338063,68100,marketplace
2021-01-13,8930254535,Marketplace,24,46442038,52800,marketplace
2021-01-13,8917136199,Airtime,30,60500957,10000,data
2021-01-13,8924288766,Airtime,41,53673930,10000,data
2021-01-13,8918887941,Airtime,41,53795494,15000,data
2021-01-13,8929957538,Airtime,41,53795494,15000,data
2021-01-13,8917975995,Airtime,41,23399830,30000,data
2021-01-13,8929737346,Airtime,41,53795494,10000,data
2021-01-14,8948823360,supermarket,9,46022523,332900,supermarket
2021-01-14,8951853874,CVS,28,1955446,44000,cvs
2021-01-14,8934730545,CVS,15,43434427,10000,cvs
2021-01-14,8938927304,Coffee chains and Milk tea,11,56669326,118000,Coffee chains and Milk tea
2021-01-14,8946687170,Marketplace,24,50561362,61600,marketplace
2021-01-14,8942431926,Marketplace,24,47154157,29701,marketplace
2021-01-14,8935872940,Airtime,30,33691289,3000,data
2021-01-14,8951561836,Airtime,43,48439850,1500,data
2021-01-14,8951103128,Airtime,41,55624234,90000,data
2021-01-14,8936686918,Airtime,41,39674925,15000,data
2021-01-15,8969098680,Supermarket,9,44739591,428400,supermarket
2021-01-15,8965804604,CVS,28,44146079,15000,cvs
2021-01-15,8970306949,CVS,8,36699094,20000,cvs
2021-01-15,8970598973,CVS,15,36699094,15000,cvs
2021-01-15,8954277245,Marketplace,24,8757217,39000,marketplace
2021-01-15,8962779380,Marketplace,24,47154157,196000,marketplace
2021-01-15,8972197078,Marketplace,24,61270656,71500,marketplace
2021-01-15,8972796084,Marketplace,24,52025897,54000,marketplace
2021-01-15,8966643152,Airtime,30,50645303,10000,data
2021-01-15,8970221738,Cashin Bank,41,60668346,58000,data
2021-01-15,8970221818,Airtime,41,60668346,70000,data
2021-01-16,8984826911,supermarket,9,46022523,75500,supermarket
2021-01-16,8979579853,CVS,28,541332,100000,cvs
2021-01-16,8985544908,CVS,15,37342607,56000,cvs
2021-01-16,8975022382,Marketplace,24,34033354,91000,marketplace
2021-01-16,8979144301,Marketplace,24,46442038,58000,marketplace
2021-01-16,8980106120,Marketplace,24,33755096,28700,marketplace
2021-01-16,8979139206,Marketplace,24,46442038,39000,marketplace
2021-01-16,8979051765,Marketplace,24,46442038,266300,marketplace
2021-01-16,8979353843,Marketplace,24,46442038,38900,marketplace
2021-01-16,8979521366,Airtime,41,50002222,15000,data
2021-01-16,8988098215,Airtime,41,23399830,15000,data
2021-01-16,8976303138,Airtime,41,54539733,30000,data
2021-01-17,9001087672,Supermarket,25,54580959,473100,supermarket
2021-01-17,8997849356,Coffee chains and Milk tea,32,56669326,50000,Coffee chains and Milk tea
2021-01-17,8995750378,Coffee chains and Milk tea,32,33571564,35000,Coffee chains and Milk tea
2021-01-17,8990589957,CVS,8,55379314,402000,cvs
2021-01-17,9000890721,Coffee chains and Milk tea,11,50219176,41000,Coffee chains and Milk tea
2021-01-17,8996503646,Marketplace,24,46442038,17900,marketplace
2021-01-17,8999439688,Marketplace,24,31384889,294000,marketplace
2021-01-17,8997718756,Marketplace,24,48154597,60000,marketplace
2021-01-17,8996514750,Marketplace,24,46442038,26900,marketplace
2021-01-17,9004754746,Marketplace,24,46442038,78443,marketplace
2021-01-17,8995576862,Marketplace,24,52025897,60900,marketplace
2021-01-17,8998182194,Airtime,30,50645303,10000,data
2021-01-17,8992365614,Airtime,30,11368352,3000,data
2021-01-17,9000864735,Airtime,30,50834298,56000,data
2021-01-17,8990215708,Airtime,30,47575334,5000,data
2021-01-17,8989892529,Airtime,41,53795494,10000,data
2021-01-17,9004422783,Airtime,41,53795494,10000,data
2021-01-17,8991477717,Airtime,41,34264642,15000,data
2021-01-18,9008340423,Coffee chains and Milk tea,31,49226858,25000,Coffee chains and Milk tea
2021-01-18,9014035734,CVS,28,55516344,22000,cvs
2021-01-18,9010449943,CVS,8,45445106,74000,cvs
2021-01-18,9008081536,CVS,15,16736014,46000,cvs
2021-01-18,9011699452,Marketplace,24,57676347,77700,marketplace
2021-01-18,9021676187,Marketplace,24,39637163,30100,marketplace
2021-01-18,9021775672,Marketplace,24,39637163,116900,marketplace
2021-01-18,9012434255,Marketplace,24,57676347,116700,marketplace
2021-01-18,9012720253,Marketplace,24,47154157,104900,marketplace
2021-01-18,9012821216,Coffee chains and Milk tea,10,51426221,158000,Coffee chains and Milk tea
2021-01-18,9013882883,Airtime,43,35848172,20000,data
2021-01-18,9015021548,Cashin Bank,43,35848172,20000,data
2021-01-18,9021218076,Cashin Bank,43,39706351,20000,data
2021-01-18,9020065050,Airtime,43,39706351,20000,data
2021-01-18,9017920153,Airtime,41,23399830,15000,data
2021-01-19,9038535839,Supermarket,25,59210112,13900,supermarket
2021-01-19,9030822686,Coffee chains and Milk tea,4,58538035,73000,Coffee chains and Milk tea
2021-01-19,9031244892,Supermarket,9,58990524,100000,supermarket
2021-01-19,9027752457,CVS,28,55215161,59000,cvs
2021-01-19,9025708331,CVS,28,55516344,31000,cvs
2021-01-19,9029322723,CVS,28,55516344,7000,cvs
2021-01-19,9025339416,CVS,15,16736014,54000,cvs
2021-01-19,9028161259,Marketplace,24,46442038,719000,marketplace
2021-01-19,9030807497,Marketplace,24,42627457,206100,marketplace
2021-01-19,9026401287,Marketplace,24,23612258,346500,marketplace
2021-01-19,9027885560,Marketplace,24,53512950,18000,marketplace
2021-01-19,9025883181,Marketplace,24,46505600,45000,marketplace
2021-01-19,9023197175,Marketplace,24,14797698,257409,marketplace
2021-01-19,9027806295,Marketplace,24,46442038,45000,marketplace
2021-01-19,9038807637,Marketplace,24,31384889,279400,marketplace
2021-01-19,9032692937,Marketplace,24,39284107,171000,marketplace
2021-01-19,9029441098,Marketplace,24,46442038,1000,marketplace
2021-01-19,9023559158,Marketplace,24,18604526,3000,marketplace
2021-01-19,9025941032,Marketplace,24,6196875,203960,marketplace
2021-01-19,9029103823,Marketplace,24,46442038,53750,marketplace
2021-01-19,9030703030,Airtime,30,33714577,84000,data
2021-01-19,9040150095,Airtime,30,60462106,42000,data
2021-01-19,9031655209,Cashin Bank,30,33714577,84000,data
2021-01-19,9030037001,Airtime,30,50645303,10000,data
2021-01-19,9025292121,Airtime,41,50002222,15000,data
2021-01-19,9028576969,Airtime,41,47123422,30000,data
2021-01-19,9022746031,Airtime,41,59127996,30000,data
2021-01-20,9060502545,Marketplace,37,58990524,372000,marketplace
2021-01-20,9047507446,Marketplace,37,29651364,749900,marketplace
2021-01-20,9060433358,Marketplace,37,58990524,372000,marketplace
2021-01-20,9050141917,CVS,8,52881000,16000,cvs
2021-01-20,9049480383,CVS,8,52881000,37000,cvs
2021-01-20,9053199585,Marketplace,24,52275297,87300,marketplace
2021-01-20,9058166968,Marketplace,24,4773597,1000,marketplace
2021-01-20,9044868496,Airtime,41,47320739,10000,data
2021-01-20,9049265821,Airtime,41,57940933,10000,data
2021-01-20,9044869075,Airtime,41,47320739,10000,data
2021-01-21,9070053338,CVS,28,55516344,11000,cvs
2021-01-21,9068433933,CVS,28,55516344,15000,cvs
2021-01-21,9079696333,CVS,5,42116909,40000,cvs
2021-01-21,9071223722,Marketplace,24,61270656,9900,marketplace
2021-01-21,9067914185,Marketplace,24,34261081,3000,marketplace
2021-01-21,9081744850,Marketplace,24,6196875,508019,marketplace
2021-01-21,9068507385,Marketplace,24,46304209,49680,marketplace
2021-01-21,9064704434,Marketplace,24,18604526,3000,marketplace
2021-01-21,9072977758,Marketplace,24,46442038,144065,marketplace
2021-01-21,9067158672,Airtime,41,34988842,40000,data
2021-01-21,9064009185,Airtime,41,59166943,10000,data
2021-01-21,9066794883,Airtime,41,51512727,10000,data
2021-01-22,9099327380,supermarket,9,59210112,30200,supermarket
2021-01-22,9092220656,Marketplace,24,46442038,223850,marketplace
2021-01-22,9092075548,Marketplace,24,61270656,29900,marketplace
2021-01-22,9089146741,Marketplace,24,50230835,163944,marketplace
2021-01-22,9086594403,Marketplace,24,23612258,649319,marketplace
2021-01-22,9092171178,Marketplace,24,46442038,16000,marketplace
2021-01-22,9094683926,Airtime,30,50645303,5000,data
2021-01-22,9090108518,Airtime,30,60462106,5000,data
2021-01-23,9113139321,Coffee chains and Milk tea,31,16736014,22500,Coffee chains and Milk tea
2021-01-23,9108179155,CVS,28,55516344,6000,cvs
2021-01-23,9105006486,CVS,28,55516344,9000,cvs
2021-01-23,9106395601,Marketplace,24,39394214,221376,marketplace
2021-01-23,9112989649,Marketplace,24,49654186,150300,marketplace
2021-01-23,9118147125,Marketplace,24,31384889,287100,marketplace
2021-01-23,9108549997,Airtime,30,50645303,2000,data
2021-01-23,9114207337,Airtime,30,50645303,10000,data
2021-01-23,9102806648,Airtime,41,56171459,40000,data
2021-01-23,9118177793,Airtime,41,18220615,40000,data
2021-01-23,9118250316,Cashin Bank,41,18220615,40000,data
2021-01-23,9106774691,Airtime,30,46345943,14000,data
2021-01-24,9130441762,Marketplace,37,29651364,373000,marketplace
2021-01-24,9132952866,supermarket,9,59210112,33900,supermarket
2021-01-24,9123321501,supermarket,9,59210112,29300,supermarket
2021-01-24,9125284188,CVS,28,55516344,26000,cvs
2021-01-24,9126709900,Marketplace,24,45530861,9440000,marketplace
2021-01-24,9122969149,Marketplace,24,46357020,8000,marketplace
2021-01-24,9122708120,Marketplace,24,46357020,8000,marketplace
2021-01-24,9128670499,Marketplace,24,46345943,124900,marketplace
2021-01-24,9130277848,Airtime,30,11457316,10000,data
2021-01-24,9127800478,Cashin Bank,41,52233732,28000,data
2021-01-24,9122417810,Airtime,41,51887966,10000,data
2021-01-24,9133801402,Airtime,41,18674520,10000,data
2021-01-24,9127879149,Airtime,41,52233732,40000,data
2021-01-24,9129267837,Airtime,41,52639797,10000,data
2021-01-24,9135041281,Airtime,30,42405853,3000,data
2021-01-24,9130286461,Airtime,30,41389748,5000,data
2021-01-25,9147470008,Marketplace,37,5563796,181950,marketplace
2021-01-25,9141918944,Marketplace,37,38650292,886000,marketplace
2021-01-25,9151601902,CVS,8,52929703,61000,cvs
2021-01-25,9136825668,CVS,5,43434427,12000,cvs
2021-01-25,9153400155,CVS,15,40445044,139000,cvs
2021-01-25,9150318388,Marketplace,24,43973006,44600,marketplace
2021-01-25,9139755771,Marketplace,24,45985773,266200,marketplace
2021-01-25,9143823705,Marketplace,24,40859996,9900,marketplace
2021-01-25,9147848243,Coffee chains and Milk tea,10,54654852,59000,Coffee chains and Milk tea
2021-01-25,9154475803,Airtime,30,60462106,56000,data
2021-01-25,9137293042,Airtime,41,57076022,10000,data
2021-01-25,9141858441,Airtime,41,43057516,10000,data
2021-01-26,9169587047,CVS,18,45102587,35000,cvs
2021-01-26,9168545749,Marketplace,37,43875970,206200,marketplace
2021-01-26,9160156656,supermarket,9,46022523,193500,supermarket
2021-01-26,9160189436,supermarket,9,46022523,269600,supermarket
2021-01-26,9164758502,CVS,28,40316802,10000,cvs
2021-01-26,9159735219,CVS,28,55516344,9000,cvs
2021-01-26,9173557118,CVS,8,50561362,15000,cvs
2021-01-26,9163128207,CVS,8,55516344,34000,cvs
2021-01-26,9173013178,Coffee chains and Milk tea,36,8090887,35000,Coffee chains and Milk tea
2021-01-26,9172828919,Marketplace,24,49654186,149400,marketplace
2021-01-26,9160192121,Marketplace,24,52025897,58000,marketplace
2021-01-26,9156425056,Marketplace,24,52025897,49000,marketplace
2021-01-26,9169347224,Airtime,30,50645303,10000,data
2021-01-26,9156459917,Airtime,30,38312534,10000,data
2021-01-26,9175351218,Airtime,30,43716665,10000,data
2021-01-26,9156171457,Airtime,41,47123422,30000,data
2021-01-26,9160013786,Airtime,41,59964031,15000,data
2021-01-26,9171629087,Airtime,43,30741036,20000,data
2021-01-27,9193719589,CVS,8,43434427,10000,cvs
2021-01-27,9190772998,CVS,8,52929703,37000,cvs
2021-01-27,9176926106,CVS,8,30527912,40000,cvs
2021-01-27,9186590868,CVS,8,44609406,50000,cvs
2021-01-27,9183300555,Marketplace,24,53631290,533980,marketplace
2021-01-27,9194568008,Marketplace,24,14854145,260100,marketplace
2021-01-27,9194754952,Marketplace,24,14854145,278100,marketplace
2021-01-27,9194020583,Marketplace,24,41965949,359100,marketplace
2021-01-27,9194854090,Marketplace,24,44057993,221544,marketplace
2021-01-27,9187180428,Marketplace,24,42836976,1000,marketplace
2021-01-27,9194805293,Airtime,30,43716665,10000,data
2021-01-27,9186209942,Airtime,41,6618736,30000,data
2021-01-27,9194100700,Airtime,41,39665838,10000,data
2021-01-27,9180698490,Airtime,30,41419439,10000,data
2021-01-27,9189129840,Airtime,30,53795494,5000,data
2021-01-28,9204099191,Coffee chains and Milk tea,32,55379314,75000,Coffee chains and Milk tea
2021-01-28,9204099882,Coffee chains and Milk tea,32,55379314,70000,Coffee chains and Milk tea
2021-01-28,9225485212,Marketplace,24,32814597,84100,marketplace
2021-01-28,9226516272,Marketplace,24,6196875,80700,marketplace
2021-01-28,9207191269,Marketplace,24,44057993,90000,marketplace
2021-01-28,9225587788,Airtime,30,51164678,5000,data
2021-01-28,9199159493,Airtime,30,34261081,10000,data
2021-01-28,9225397646,Airtime,41,60322992,10000,data
2021-01-28,9219272039,Airtime,41,53165982,10000,data
2021-01-28,9200315839,Airtime,41,61315997,90000,data
2021-01-29,9231966511,Marketplace,37,44153552,146500,marketplace
2021-01-29,9232174319,CVS,8,41326221,10000,cvs
2021-01-29,9237825079,CVS,15,48893540,29000,cvs
2021-01-29,9249319736,Marketplace,24,45845888,49500,marketplace
2021-01-29,9250903416,Marketplace,24,46442038,78000,marketplace
2021-01-29,9243725499,Marketplace,24,45845888,100000,marketplace
2021-01-29,9250903413,Marketplace,24,31058664,71700,marketplace
2021-01-29,9243837377,Marketplace,24,45845888,100000,marketplace
2021-01-29,9253773344,Marketplace,24,46442038,8800,marketplace
2021-01-29,9253217663,Marketplace,24,46442038,8800,marketplace
2021-01-29,9240145788,Marketplace,24,45845888,44000,marketplace
2021-01-29,9234753942,Marketplace,24,32814597,200500,marketplace
2021-01-29,9258632848,Airtime,41,45929377,15000,data
2021-01-29,9249065321,Airtime,41,34036921,15000,data
2021-01-30,9272673156,Marketplace,37,43875970,206000,marketplace
2021-01-30,9272675774,Marketplace,37,43875970,206000,marketplace
2021-01-30,9284082485,Supermarket,9,43875970,1034800,supermarket
2021-01-30,9262279594,CVS,8,59702605,209000,cvs
2021-01-30,9285542684,CVS,8,38579011,57000,cvs
2021-01-30,9285542060,CVS,8,38579011,52000,cvs
2021-01-30,9278792598,Marketplace,24,48587511,82900,marketplace
2021-01-30,9267711862,Airtime,30,34998150,10000,data
2021-01-30,9263247380,Airtime,30,58115990,10000,data
2021-01-30,9272704034,Airtime,41,45272614,15000,data
2021-01-30,9279319834,Airtime,41,40097483,15000,data
2021-01-30,9279508415,Airtime,41,59037844,15000,data
2021-01-30,9273693151,Airtime,41,46442038,30000,data
2021-01-30,9268616209,Airtime,30,46840115,1000,data
2021-01-30,9277283059,Airtime,30,50119820,10000,data
2021-01-30,9281925474,Airtime,43,5370207,20000,data
2021-01-31,9300978522,Marketplace,37,19359720,459000,marketplace
2021-01-31,9302705242,Supermarket,25,60492066,243400,supermarket
2021-01-31,9315587617,supermarket,9,59210112,34400,supermarket
2021-01-31,9309172201,CVS,8,41525985,25000,cvs
2021-01-31,9319560693,Marketplace,24,31676468,274000,marketplace
2021-01-31,9318436207,Marketplace,24,50230835,37700,marketplace
2021-01-31,9300547702,Marketplace,24,6154178,39000,marketplace
2021-01-31,9306395493,Marketplace,24,42420914,1000,marketplace
2021-01-31,9309305019,Coffee chains and Milk tea,10,41525985,54000,Coffee chains and Milk tea
2021-01-31,9307107079,Airtime,30,60462106,56000,data
2021-01-31,9291748169,Airtime,41,46297617,15000,data
2021-01-31,9303248619,Airtime,41,51887966,10000,data
2021-01-31,9301074418,Airtime,41,54731964,15000,data
2021-01-31,9313583090,Cashin Bank,41,44621287,50000,data
2021-01-31,9313772166,Airtime,41,44621287,70000,data
2021-01-31,9315174569,Airtime,30,40812023,10000,data
2021-01-31,9300487688,Airtime,43,41846208,20000,data
2021-01-31,9291164486,Airtime,43,41846208,20000,data
2021-02-01,9350360145,CVS,28,56669326,25000,cvs
2021-02-01,9339744791,Coffee chains and Milk tea,32,56669326,120000,Coffee chains and Milk tea
2021-02-01,9346316655,Marketplace,24,46304209,68100,marketplace
2021-02-01,9332537926,Airtime,30,10354006,42000,data
2021-02-01,9322027254,Airtime,30,43716665,10000,data
2021-02-01,9331462748,Airtime,41,50645862,30000,data
2021-02-01,9322048898,Airtime,41,34036921,15000,data
2021-02-01,9356847628,Airtime,41,45443861,15000,data
2021-02-01,9350338133,Airtime,41,59243462,15000,data
2021-02-01,9323885321,Airtime,41,49167426,15000,data
2021-02-01,9340913558,Airtime,30,49657946,10000,data
